Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,New York,NY,100.0,100.0,100.0,100.0,100.0,100.0
2,San Francisco,CA,93.0,76.2,85.4,108.1,89.8,160.3
3,Honolulu,HI,88.7,67.8,73.8,107.8,79.1,97.8
4,Boston,MA,85.6,63.8,73.2,97.1,88.0,129.8
5,Washington,DC,82.2,60.2,68.8,88.4,88.0,135.0
6,San Diego,CA,79.8,67.1,74.6,80.5,78.4,137.0
7,Seattle,WA,79.5,57.5,69.5,87.8,88.8,160.3
8,Los Angeles,CA,79.3,71.9,65.6,85.9,90.4,127.9
9,Sacramento,CA,78.9,49.8,58.6,90.1,71.3,123.6
10,Chicago,IL,76.6,54.3,66.5,90.5,84.5,132.1
11,Miami,FL,75.3,68.5,72.2,80.4,85.2,105.4
12,Raleigh,NC,74.0,47.4,62.1,82.3,73.4,137.8
13,Denver,CO,73.6,49.8,62.9,82.8,73.2,134.4
14,Philadelphia,PA,73.4,40.4,58.5,90.6,68.2,122.9
15,New Orleans,LA,73.1,44.1,57.9,80.3,85.9,121.3
16,Portland,OR,73.0,44.4,59.9,84.4,67.4,142.2
17,Tampa,FL,72.9,47.3,61.3,83.7,74.7,145.6
18,Charlotte,NC,72.8,51.8,63.3,86.8,71.7,128.4
19,Atlanta,GA,72.7,51.6,63.6,86.8,86.8,170.2
20,Minneapolis,MN,69.7,35.2,54.1,81.7,75.6,143.7
21,Nashville,TN,68.9,47.1,59.0,78.2,68.4,139.7
22,Orlando,FL,68.8,44.9,58.0,79.9,76.5,141.3
23,Dallas,TX,68.7,48.6,58.6,82.3,70.3,166.6
24,Columbus,OH,67.1,37.5,53.6,79.5,65.1,131.1
25,Las Vegas,NV,65.6,37.5,52.9,69.4,72.1,143.3
26,Phoenix,AZ,65.0,37.5,52.1,70.5,66.0,160.3
27,Salt Lake City,UT,63.9,39.6,52.1,66.0,68.3,134.4
28,San Antonio,TX,63.7,37.2,51.7,66.7,66.3,133.2
29,Austin,TX,63.3,52.5,58.4,68.5,67.5,155.7
30,Houston,TX,62.3,38.2,51.7,69.0,65.2,161.7
31,Boise,ID,61.7,35.2,49.7,67.4,65.2,155.1
