County,Year,Cost of Living Index,Rent Index,Unemployment Rate
Honolulu County,2015,104.2,64.9,3.391666666666667
New York County,2015,100.0,100.0,4.808333333333334
San Francisco County,2015,97.0,96.1,3.633333333333333
Fairfield County,2015,96.2,62.7,5.85
King County,2015,90.7,59.1,3.7708333333333335
Cuyahoga County,2015,90.3,27.3,5.0
Harris County,2015,89.9,50.7,4.625
Knox County,2015,89.6,31.0,4.837962962962963
Hartford County,2015,89.5,37.8,5.866666666666667
Suffolk County,2015,89.4,70.5,4.716666666666667
Fairfax County,2015,89.2,55.6,3.5666666666666664
Philadelphia County,2015,88.6,52.9,6.866666666666667
Sacramento County,2015,88.2,34.7,6.0
Dane County,2015,86.1,34.2,3.1916666666666664
Santa Clara County,2015,85.9,77.6,4.15
Buncombe County,2015,84.7,36.7,4.358333333333333
Alameda County,2015,84.6,66.4,4.741666666666666
Richmond City,2015,83.5,35.4,5.2
Wake County,2015,83.0,35.2,4.641666666666667
Madison County,2015,81.3,20.9,4.5931372549019605
Hennepin County,2015,80.6,38.7,3.283333333333333
Baltimore City,2015,80.0,42.4,7.708333333333333
Erie County,2015,80.0,25.1,5.480555555555556
Cook County,2015,79.6,54.7,5.266666666666667
Clark County,2015,79.5,27.9,5.1
Duval County,2015,79.1,29.3,8.241666666666667
Orange County,2015,78.6,33.7,4.907142857142857
Denver County,2015,78.6,43.6,3.7083333333333335
Travis County,2015,78.3,46.6,3.266666666666667
Washoe County,2015,78.0,24.9,6.258333333333333
Kent County,2015,77.8,30.8,4.704
Fresno County,2015,77.4,30.8,10.183333333333334
San Diego County,2015,77.3,57.1,5.2
Dallas County,2015,77.1,39.6,6.066666666666666
Franklin County,2015,76.8,31.4,5.095454545454546
Montgomery County,2015,76.4,23.3,5.546568627450981
Jackson County,2015,76.1,27.8,5.694628099173554
Allegheny County,2015,75.9,35.9,4.808333333333334
Fulton County,2015,75.7,34.6,6.142857142857143
Hillsborough County,2015,75.7,32.0,3.608333333333334
Pima County,2015,75.6,28.4,5.541666666666667
El Paso County,2015,75.2,28.3,4.920833333333333
Washtenaw County,2015,75.1,35.4,4.05
Wayne County,2015,75.0,30.6,6.113529411764706
Bexar County,2015,73.7,33.5,3.825
Orleans Parish,2015,73.6,43.8,6.5125
Jefferson County,2015,73.4,27.6,5.781521739130435
Maricopa County,2015,72.3,30.3,5.166666666666667
Marion County,2015,71.8,28.3,5.991666666666666
Shelby County,2015,71.7,31.7,4.730555555555555
Milwaukee County,2015,71.6,29.9,5.8500000000000005
Multnomah County,2015,71.1,43.7,4.983333333333333
Bernalillo County,2015,71.1,26.0,5.925
Oklahoma County,2015,69.7,22.6,3.783333333333333
Salt Lake County,2015,69.7,31.1,3.333333333333333
Los Angeles County,2015,69.4,57.7,6.65
Ada County,2015,68.9,24.5,3.591666666666667
Douglas County,2015,63.4,23.8,4.871969696969697
